sortie,service,direct_feasible,relay_feasible,relay_needed,relay_fraction,relay_height_offset_m,min_clearance_m,link_margin_db,segment1_pixels,segment2_pixels,total_distance_m
Q2-001,S001,False,True,True,0.5,200.0,18.974459838867176,9.165491441244,137,139,3079.0476067661275
Q2-002,S001,False,True,True,0.5,200.0,18.974459838867176,9.165491441244,137,139,3079.0476067661275
Q2-003,S002,False,True,True,0.25,200.0,18.178301250349307,7.504235790112659,163,487,7447.80311390481
Q2-004,S002,False,True,True,0.25,200.0,18.178301250349307,7.504235790112659,163,487,7447.80311390481
Q2-005,S003,False,True,True,0.5,100.0,3.4349339425986045,1.6932166243123845,341,339,7283.382854852758
Q2-006,S003,False,True,True,0.5,100.0,3.4349339425986045,1.6932166243123845,341,339,7283.382854852758
Q2-007,S004,False,True,True,0.5,200.0,11.0593126423679,1.1669205098032194,277,279,7753.823189225826
Q2-008,S005,False,True,True,0.25,100.0,6.639010301426367,10.478336839412025,91,275,5306.0455676868505
Q2-009,S006,False,True,True,0.25,100.0,18.974459838867176,14.747591227785492,61,175,3198.9794604865992
Q2-010,S007,False,True,True,0.75,100.0,16.00218849170355,2.253844766591825,321,109,4558.620051414719
Q2-011,S008,False,True,True,0.25,100.0,13.614377470447778,6.784860233712919,163,483,8115.247379897511
Q2-012,S009,False,True,True,0.25,100.0,3.0446783157242407,9.805818258585177,129,381,5727.652614768382
Q2-013,S010,False,True,True,0.25,100.0,2.478950800202938,11.282497481999798,103,307,4796.065245118359
Q2-014,S011,False,True,True,0.5,100.0,6.523190306337824,9.931195318460496,125,125,2823.5571229367324
Q2-015,S012,False,True,True,0.25,200.0,17.08242182631065,7.543699700767817,179,533,7411.824350476012
Q2-016,S013,False,True,True,0.25,100.0,12.705417572507429,11.192795460128169,117,343,4861.262152001901
Q2-017,S014,False,True,True,0.5,200.0,5.528085231438496,4.203628135381834,205,205,5441.65286900822
Q2-018,S015,False,True,True,0.5,300.0,4.964872174212303,3.2901091785171275,287,289,6048.925226244266
